locus_tag	product	protein_id	go_function	go_process	go_component	gene	GOs	Description	KEGG_ko	KEGG_Module	BRITE	KEGG_TC	CAZy	PFAMs
NCS66_RS10630	BON domain-containing protein	WP_061162774.1					-	PFAM transport-associated	-	-	-	-	-	BON
NCS66_RS10635	TAXI family TRAP transporter solute-binding subunit	WP_175980446.1					-	ABC transporter substrate-binding protein	-	-	-	-	-	NMT1_3
NCS66_RS10640	2-hydroxychromene-2-carboxylate isomerase	WP_008342696.1					-	2-hydroxychromene-2-carboxylate isomerase	-	-	-	-	-	DSBA
NCS66_RS10645	LysR family transcriptional regulator	WP_250435098.1	DNA-binding transcription activator activity|0001216||IEA				-	transcriptional Regulator, LysR family	-	-	-	-	-	HTH_1,LysR_substrate
NCS66_RS10650	AraC family transcriptional regulator	WP_250480654.1					-	Cupin	ko:K18991	M00647	ko00000,ko00002,ko03000	-	-	Cupin_6,HTH_18
NCS66_RS10655	xanthine dehydrogenase accessory protein XdhC	WP_034471606.1	molybdopterin cofactor binding|0043546||IEA	protein-containing complex assembly|0065003||IEA		xdhC	-	XdhC Rossmann domain	ko:K07402	-	ko00000	-	-	XdhC_C,XdhC_CoxI
NCS66_RS10675	addiction module antidote protein	WP_239295091.1	DNA binding|0003677||IEA				-	addiction module antidote protein	-	-	-	-	-	HTH_3
NCS66_RS10680	type II toxin-antitoxin system RelE/ParE family toxin	WP_239295092.1	RNA nuclease activity|0004540||IEA	cell death|0008219||IEA			-	addiction module killer protein	-	-	-	-	-	Gp49
NCS66_RS10685	GntR family transcriptional regulator	WP_008342704.1	DNA-binding transcription factor activity|0003700||IEA				-	Transcriptional regulator	ko:K03710	-	ko00000,ko03000	-	-	GntR,UTRA
NCS66_RS10695	EAL domain-containing protein	WP_008342708.1					-	PFAM EAL domain protein	-	-	-	-	-	EAL
NCS66_RS10700	hypothetical protein	WP_250435106.1					-	-	-	-	-	-	-	-
NCS66_RS10705	acyltransferase	WP_250480657.1	acyltransferase activity, transferring groups other than amino-acyl groups|0016747||IEA				-	PFAM acyltransferase 3	-	-	-	-	-	Acyl_transf_3
NCS66_RS10740	3-hydroxyacyl-CoA dehydrogenase	WP_239295099.1					-	Belongs to the short-chain dehydrogenases reductases (SDR) family	-	-	-	-	-	adh_short,adh_short_C2
NCS66_RS10745	SirB1 family protein	WP_008342728.1					-	Transglutaminase-like superfamily	-	-	-	-	-	TPR_9,Transglut_core2
NCS66_RS10760	DUF3579 domain-containing protein	WP_008342735.1					-	Protein of unknown function (DUF3579)	-	-	-	-	-	DUF3579
NCS66_RS10790	Cys-tRNA(Pro) deacylase	WP_239295102.1	aminoacyl-tRNA editing activity|0002161||IEA	tRNA aminoacylation|0043039||IEA		ybaK	-	Belongs to the prolyl-tRNA editing family. YbaK EbsC subfamily	ko:K03976	-	ko00000,ko01000,ko03016	-	-	tRNA_edit
NCS66_RS10800	methylated-DNA--[protein]-cysteine S-methyltransferase	WP_034471573.1	methylated-DNA-[protein]-cysteine S-methyltransferase activity|0003908||IEA				-	PFAM Methylated-DNA- protein -cysteine S-methyltransferase DNA binding	ko:K00567	-	ko00000,ko01000,ko03400	-	-	DNA_binding_1
NCS66_RS10825	hypothetical protein	WP_175980463.1					-	-	-	-	-	-	-	-
NCS66_RS10830	pirin family protein	WP_239295106.1					-	Belongs to the pirin family	ko:K06911	-	ko00000	-	-	Pirin,Pirin_C
NCS66_RS10835	thioredoxin	WP_244807596.1	protein-disulfide reductase activity|0015035||IEA			trxA	-	Thioredoxin	ko:K05838	-	ko00000,ko03110	-	-	TPR_19,TPR_20,Thioredoxin
NCS66_RS10850	cyclopropane-fatty-acyl-phospholipid synthase family protein	WP_008342762.1	S-adenosyl-L-methionine binding|1904047||IEA				-	cyclopropane-fatty-acyl-phospholipid synthase	ko:K00574	-	ko00000,ko01000	-	-	CMAS
NCS66_RS10855	DUF29 domain-containing protein	WP_244807597.1					-	Evidence 4 Homologs of previously reported genes of	-	-	-	-	-	DUF29
NCS66_RS10860	DUF72 domain-containing protein	WP_250480660.1					-	Protein of unknown function DUF72	-	-	-	-	-	DUF72
NCS66_RS10870	flavin reductase family protein	WP_239295111.1	oxidoreductase activity|0016491||IEA				-	PFAM flavin reductase domain protein, FMN-binding	-	-	-	-	-	Flavin_Reduct
NCS66_RS10890	tryptophan 2,3-dioxygenase	WP_250440162.1	tryptophan 2,3-dioxygenase activity|0004833||IEA	tryptophan catabolic process to kynurenine|0019441||IEA		kynA	GO:0003674,GO:0003824,GO:0004833,GO:0005488,GO:0006082,GO:0006139,GO:0006520,GO:0006568,GO:0006569,GO:0006576,GO:0006586,GO:0006725,GO:0006732,GO:0006733,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009058,GO:0009063,GO:0009072,GO:0009074,GO:0009108,GO:0009117,GO:0009165,GO:0009308,GO:0009310,GO:0009435,GO:0009987,GO:0016043,GO:0016053,GO:0016054,GO:0016491,GO:0016701,GO:0016702,GO:0017144,GO:0018130,GO:0019359,GO:0019362,GO:0019363,GO:0019438,GO:0019439,GO:0019441,GO:0019637,GO:0019674,GO:0019752,GO:0019805,GO:0020037,GO:0022607,GO:0034641,GO:0034654,GO:0042180,GO:0042402,GO:0042430,GO:0042436,GO:0042537,GO:0043436,GO:0043648,GO:0043650,GO:0043933,GO:0044085,GO:0044106,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044270,GO:0044271,GO:0044281,GO:0044282,GO:0044283,GO:0046218,GO:0046394,GO:0046395,GO:0046483,GO:0046496,GO:0046700,GO:0046874,GO:0046906,GO:0048037,GO:0051186,GO:0051188,GO:0051213,GO:0051259,GO:0051260,GO:0051262,GO:0051289,GO:0055086,GO:0055114,GO:0065003,GO:0070189,GO:0071704,GO:0071840,GO:0072524,GO:0072525,GO:0090407,GO:0097159,GO:1901293,GO:1901360,GO:1901361,GO:1901362,GO:1901363,GO:1901564,GO:1901565,GO:1901566,GO:1901575,GO:1901576,GO:1901605,GO:1901606	Heme-dependent dioxygenase that catalyzes the oxidative cleavage of the L-tryptophan (L-Trp) pyrrole ring and converts L- tryptophan to N-formyl-L-kynurenine. Catalyzes the oxidative cleavage of the indole moiety	ko:K00453	M00038	ko00000,ko00001,ko00002,ko01000	-	-	Trp_dioxygenase
NCS66_RS10895	IclR family transcriptional regulator	WP_250480661.1	DNA-binding transcription factor activity|0003700||IEA	regulation of DNA-templated transcription|0006355||IEA			-	Transcriptional regulator	-	-	-	-	-	HTH_IclR,IclR
NCS66_RS10905	DUF883 family protein	WP_008342781.1					-	Bacterial protein of unknown function (DUF883)	-	-	-	-	-	DUF883
NCS66_RS10910	phage holin family protein	WP_034471543.1					-	membrane	-	-	-	-	-	Phage_holin_3_6
NCS66_RS10915	DUF3318 domain-containing protein	WP_250480662.1					-	Protein of unknown function (DUF3318)	-	-	-	-	-	DUF3318
NCS66_RS10925	pilus assembly protein	WP_034471539.1					-	-	-	-	-	-	-	PilX
NCS66_RS10930	PilW family protein	WP_250480664.1		type IV pilus assembly|0043683||IEA			-	type iv pilus assembly protein	ko:K02672	-	ko00000,ko02035,ko02044	-	-	N_methyl,PilW
NCS66_RS10935	prepilin-type N-terminal cleavage/methylation domain-containing protein	WP_250480665.1					-	-	ko:K02671	-	ko00000,ko02035,ko02044	-	-	N_methyl
NCS66_RS10990	tol-pal system protein YbgF	WP_008342809.1	protein binding|0005515||IEA			ybgF	-	Mediates coordination of peptidoglycan synthesis and outer membrane constriction during cell division	-	-	-	-	-	TPR_16,TPR_6,TolA_bind_tri,YfiO
NCS66_RS11005	hypothetical protein	WP_250480669.1					-	4-amino-4-deoxy-alpha-L-arabinopyranosyl undecaprenyl phosphate biosynthetic process	-	-	-	-	-	LprI
NCS66_RS11010	WYL domain-containing protein	WP_008342813.1	nucleic acid binding|0003676||IEA				-	WYL domain	-	-	-	-	-	WYL
NCS66_RS11015	YhaN family protein	WP_250480670.1					-	AAA domain	-	-	-	-	-	AAA_27
NCS66_RS11020	DNA repair exonuclease	WP_034471513.1	metal ion binding|0046872||IEA				-	Metallophosphoesterase	-	-	-	-	-	Metallophos
NCS66_RS11025	hypothetical protein	WP_175980481.1					-	-	-	-	-	-	-	-
NCS66_RS11040	peptidylprolyl isomerase	WP_008342825.1	peptidyl-prolyl cis-trans isomerase activity|0003755||IEA				-	Chaperone involved in the correct folding and assembly of outer membrane proteins. Recognizes specific patterns of aromatic residues and the orientation of their side chains, which are found more frequently in integral outer membrane proteins. May act in both early periplasmic and late outer membrane-associated steps of protein maturation	ko:K03771	-	ko00000,ko01000,ko03110	-	-	Rotamase,Rotamase_3,SurA_N
NCS66_RS11050	phosphotransferase	WP_250480672.1					-	Aminoglycoside phosphotransferase	ko:K07102	-	ko00000,ko00001,ko01000	-	-	APH
NCS66_RS11055	N-acetylmuramate alpha-1-phosphate uridylyltransferase MurU	WP_250435162.1	nucleotidyltransferase activity|0016779||IEA	peptidoglycan biosynthetic process|0009252||IEA		murU	-	Nucleotidyl transferase	ko:K00992	-	ko00000,ko00001,ko01000	-	-	NTP_transferase
NCS66_RS11085	DUF2827 domain-containing protein	WP_250480676.1					-	Protein of unknown function (DUF2827)	-	-	-	-	-	DUF2827
NCS66_RS11090	DUF2827 domain-containing protein	WP_250440183.1					-	Protein of unknown function (DUF2827)	-	-	-	-	-	DUF2827
NCS66_RS11095	DUF2827 domain-containing protein	WP_284504071.1					-	Protein of unknown function (DUF2827)	-	-	-	-	-	DUF2827
NCS66_RS11115	hypothetical protein	WP_250480678.1					-	O-linked N-acetylglucosamine transferase SPINDLY family	-	-	-	-	-	-
NCS66_RS11120	CopD family protein	WP_008342849.1					-	PFAM conserved	ko:K08973	-	ko00000	-	-	UPF0093
NCS66_RS11130	DNA polymerase III subunit delta	WP_008342853.1	DNA-directed DNA polymerase activity|0003887||IEA	DNA replication|0006260||IEA		holA	-	DNA polymerase III delta subunit	ko:K02340	M00260	ko00000,ko00001,ko00002,ko01000,ko03032,ko03400	-	-	DNA_pol3_delt_C,DNA_pol3_delta
NCS66_RS11180	FCD domain-containing protein	WP_034471690.1					-	Transcriptional regulator	ko:K05799	-	ko00000,ko03000	-	-	FCD,GntR
NCS66_RS11195	VOC family protein	WP_008342874.1					-	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily	ko:K04750	-	ko00000	-	-	Glyoxalase
NCS66_RS11205	barstar family protein	WP_250480681.1					-	Barstar (barnase inhibitor)	-	-	-	-	-	Barstar
NCS66_RS11210	ribonuclease	WP_033537314.1					-	Ribonuclease	ko:K01167	-	ko00000,ko01000,ko03016,ko03019	-	-	Ribonuclease
NCS66_RS11255	SMP-30/gluconolactonase/LRE family protein	WP_250435193.1	metal ion binding|0046872||IEA				-	SMP-30/Gluconolaconase/LRE-like region	ko:K13874	-	ko00000,ko00001,ko01000	-	-	SGL
NCS66_RS11260	SDR family oxidoreductase	WP_239295154.1	oxidoreductase activity|0016491||IEA				-	PFAM short-chain dehydrogenase reductase SDR	ko:K22185	-	ko00000,ko00001,ko01000	-	-	adh_short_C2
NCS66_RS11295	IclR family transcriptional regulator	WP_239295159.1	DNA-binding transcription factor activity|0003700||IEA	regulation of DNA-templated transcription|0006355||IEA			-	Transcriptional regulator	-	-	-	-	-	HTH_IclR,IclR
NCS66_RS11300	monofunctional biosynthetic peptidoglycan transglycosylase	WP_250435196.1	pentosyltransferase activity|0016763||IEA	peptidoglycan biosynthetic process|0009252||IEA	membrane|0016020||IEA	mtgA	-	Peptidoglycan polymerase that catalyzes glycan chain elongation from lipid-linked precursors	ko:K03814	-	ko00000,ko00001,ko01000,ko01003,ko01011	-	GT51	Transgly
NCS66_RS11310	RNB domain-containing ribonuclease	WP_033536347.1	RNA nuclease activity|0004540||IEA				-	ribonuclease II	ko:K01147	-	ko00000,ko01000,ko03016	-	-	RNB
NCS66_RS11325	hypothetical protein	WP_008342899.1					-	mRNA catabolic process	-	-	-	-	-	-
NCS66_RS11330	TlpA disulfide reductase family protein	WP_239295164.1	oxidoreductase activity|0016491||IEA				-	Redoxin domain protein	-	-	-	-	-	AhpC-TSA,Redoxin
NCS66_RS11350	zinc-ribbon and DUF3426 domain-containing protein	WP_250480688.1					-	MJ0042 family finger-like	-	-	-	-	-	DUF3426,zinc_ribbon_4,zinc_ribbon_5
NCS66_RS11375	hypothetical protein	WP_239295166.1					-	-	-	-	-	-	-	-
NCS66_RS11380	ribonucleotide-diphosphate reductase subunit beta	WP_008342919.1	oxidoreductase activity|0016491||IEA	deoxyribonucleotide biosynthetic process|0009263||IEA			-	Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides	ko:K00526	M00053	ko00000,ko00001,ko00002,ko01000,ko03400	-	-	Ribonuc_red_sm
NCS66_RS11395	ribonucleoside-diphosphate reductase subunit alpha	WP_239295167.1	ATP binding|0005524||IEA	DNA replication|0006260||IEA			GO:0000166,GO:0003674,GO:0003824,GO:0004748,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005971,GO:0006139,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009117,GO:0009165,GO:0009262,GO:0009263,GO:0009987,GO:0016491,GO:0016725,GO:0016728,GO:0018130,GO:0019438,GO:0019637,GO:0032991,GO:0034641,GO:0034654,GO:0036094,GO:0042802,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044424,GO:0044444,GO:0044445,GO:0044464,GO:0046483,GO:0055086,GO:0055114,GO:0061731,GO:0071704,GO:0090407,GO:0097159,GO:1901135,GO:1901137,GO:1901265,GO:1901293,GO:1901360,GO:1901362,GO:1901363,GO:1901576,GO:1902494,GO:1990204	Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides	ko:K00525	M00053	ko00000,ko00001,ko00002,ko01000,ko03400	-	-	ATP-cone,Ribonuc_red_lgC,Ribonuc_red_lgN
NCS66_RS11405	PP0621 family protein	WP_034471463.1					-	-	ko:K06950	-	ko00000	-	-	-
NCS66_RS11410	cytochrome c biogenesis protein CcsA	WP_008342934.1	heme binding|0020037||IEA	cytochrome complex assembly|0017004||IEA		ccsA	-	Cytochrome c assembly protein	-	-	-	-	-	Cytochrom_C_asm
NCS66_RS11440	CNP1-like family protein	WP_033537265.1					-	CNP1-like family	-	-	-	-	-	CNP1
NCS66_RS11500	cell division protein ZapD	WP_008342965.1				zapD	-	Cell division factor that enhances FtsZ-ring assembly. Directly interacts with FtsZ and promotes bundling of FtsZ protofilaments, with a reduction in FtsZ GTPase activity	ko:K18778	-	ko00000,ko03036	-	-	ZapD
NCS66_RS11515	ATP-binding protein	WP_239295169.1					-	SMART AAA ATPase	ko:K06923	-	ko00000	-	-	DUF815
NCS66_RS11535	DUF721 domain-containing protein	WP_008342974.1					-	Protein of unknown function (DUF721)	-	-	-	-	-	DUF721
NCS66_RS11545	peroxiredoxin	WP_239295171.1					-	PFAM alkyl hydroperoxide reductase Thiol specific antioxidant Mal allergen	ko:K03386	-	ko00000,ko00001,ko01000,ko04147	-	-	Redoxin
NCS66_RS11560	cell division protein FtsQ/DivIB	WP_008342982.1					-	Essential cell division protein. May link together the upstream cell division proteins, which are predominantly cytoplasmic, with the downstream cell division proteins, which are predominantly periplasmic. May control correct divisome assembly	ko:K03589	-	ko00000,ko00001,ko03036	-	-	FtsQ,POTRA_1
NCS66_RS11610	cell division protein FtsL	WP_008342999.1		cytokinesis|0000910||IEA	membrane|0016020||IEA	ftsL	-	Essential cell division protein. May link together the upstream cell division proteins, which are predominantly cytoplasmic, with the downstream cell division proteins, which are predominantly periplasmic	ko:K03586	-	ko00000,ko03036	-	-	FtsL
NCS66_RS11625	2-polyprenyl-3-methyl-6-methoxy-1,4-benzoquinone monooxygenase	WP_034471434.1	monooxygenase activity|0004497||IEA	ubiquinone biosynthetic process|0006744||IEA		coq7	-	Oxygenase that introduces the hydroxyl group at carbon five of 2-nonaprenyl-3-methyl-6-methoxy-1,4-benzoquinol resulting in the formation of 2-nonaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4- benzoquinol	ko:K06134	M00128	ko00000,ko00001,ko00002,ko01000	-	-	COQ7
NCS66_RS11630	porin	WP_008343007.1	porin activity|0015288||IEA		cell outer membrane|0009279||IEA		-	PFAM porin Gram-negative type	-	-	-	-	-	Porin_4
NCS66_RS11650	M20 aminoacylase family protein	WP_250440213.1	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds|0016810||IEA				-	amidohydrolase	-	-	-	-	-	M20_dimer,Peptidase_M20
NCS66_RS11655	transposase domain-containing protein	WP_250480693.1					-	transposase IS66	-	-	-	-	-	DDE_Tnp_IS66,DDE_Tnp_IS66_C,LZ_Tnp_IS66,zf-IS66
NCS66_RS11655	transposase domain-containing protein	WP_250480693.1					-	transposase IS66	-	-	-	-	-	DDE_Tnp_IS66,DDE_Tnp_IS66_C,LZ_Tnp_IS66,zf-IS66
NCS66_RS11655	transposase domain-containing protein	WP_250480693.1					-	transposase IS66	-	-	-	-	-	DDE_Tnp_IS66,DDE_Tnp_IS66_C,LZ_Tnp_IS66,zf-IS66
NCS66_RS11665	phenylacetic acid degradation protein PaaN	WP_239295454.1		phenylacetate catabolic process|0010124||IEA		paaN	-	phenylacetic acid degradation protein paaN	-	-	-	-	-	Aldedh
NCS66_RS11685	MltA domain-containing protein	WP_174447762.1	hydrolase activity, hydrolyzing O-glycosyl compounds|0004553||IEA				-	PFAM MltA domain protein	ko:K08304	-	ko00000,ko01000,ko01011	-	GH102	3D,MltA
NCS66_RS11745	PDZ domain-containing protein	WP_239295467.1	protein binding|0005515||IEA				-	Peptidase M61	-	-	-	-	-	PDZ_2,Peptidase_M61
NCS66_RS11755	UbiH/UbiF family hydroxylase	WP_239295457.1					-	Ubiquinone biosynthesis hydroxylase, UbiH UbiF VisC COQ6 family	-	-	-	-	-	FAD_binding_3,SE
NCS66_RS11765	DUF3761 domain-containing protein	WP_008344406.1					-	Protein of unknown function (DUF3761)	-	-	-	-	-	DUF3761
NCS66_RS11775	DUF748 domain-containing protein	WP_034473928.1					-	Domain of Unknown Function (DUF748)	-	-	-	-	-	DUF748
NCS66_RS11780	HAD family phosphatase	WP_250435229.1					-	TIGRFAM HAD-superfamily hydrolase, subfamily IA, variant 3	ko:K01560	-	ko00000,ko00001,ko01000	-	-	HAD_2
NCS66_RS11785	aminopeptidase P family protein	WP_250480695.1	metalloaminopeptidase activity|0070006||IEA	proteolysis|0006508||IEA	membrane|0016020||IEA		-	peptidase M24	ko:K01262	-	ko00000,ko01000,ko01002	-	-	Creatinase_N,Creatinase_N_2,Peptidase_M24,Peptidase_M24_C
NCS66_RS11790	hypothetical protein	WP_034473925.1					-	-	-	-	-	-	-	-
NCS66_RS11795	glycosyltransferase family 2 protein	WP_250480696.1					-	N-terminal domain of galactosyltransferase	-	-	-	-	-	Glyco_tranf_2_2,Glyco_transf_7C
NCS66_RS11830	APC family permease	WP_075583595.1	transmembrane transporter activity|0022857||IEA		membrane|0016020||IEA		-	amino acid	-	-	-	-	-	AA_permease_2
NCS66_RS11845	MFS transporter	WP_250480699.1	transmembrane transporter activity|0022857||IEA	transmembrane transport|0055085||IEA			-	Sugar (and other) transporter	-	-	-	-	-	Sugar_tr
NCS66_RS11850	nitroreductase family protein	WP_250440230.1					-	Pfam Nitroreductase	-	-	-	-	-	Nitroreductase
NCS66_RS11855	MFS transporter	WP_033536108.1	transmembrane transporter activity|0022857||IEA	transmembrane transport|0055085||IEA			-	PFAM major facilitator superfamily MFS_1	-	-	-	-	-	MFS_1
NCS66_RS11860	TetR/AcrR family transcriptional regulator	WP_250480700.1	DNA-binding transcription factor activity|0003700||IEA	regulation of DNA-templated transcription|0006355||IEA			-	PFAM regulatory protein TetR	-	-	-	-	-	TetR_N
NCS66_RS11865	DUF1415 domain-containing protein	WP_250480701.1					-	Protein of unknown function (DUF1415)	ko:K09941	-	ko00000	-	-	DUF1415
NCS66_RS11870	SAM-dependent methyltransferase	WP_008344377.1					-	Methyltransferase domain	-	-	-	-	-	Methyltransf_32
NCS66_RS11875	hypothetical protein	WP_008344375.1					-	-	-	-	-	-	-	-
NCS66_RS11880	FadR/GntR family transcriptional regulator	WP_309791299.1	DNA-binding transcription factor activity|0003700||IEA				-	Regulatory protein GntR HTH	ko:K05799	-	ko00000,ko03000	-	-	FCD,GntR
NCS66_RS11890	MFS transporter	WP_008344369.1	transmembrane transporter activity|0022857||IEA	transmembrane transport|0055085||IEA			-	PFAM major facilitator superfamily MFS_1	-	-	-	-	-	MFS_1
NCS66_RS11900	hypothetical protein	WP_235366208.1					-	Psort location Cytoplasmic, score 8.96	-	-	-	-	-	-
NCS66_RS11905	NAD(P)/FAD-dependent oxidoreductase	WP_250480703.1					-	fad dependent oxidoreductase	ko:K07137	-	ko00000	-	-	Amino_oxidase,Pyr_redox_2
NCS66_RS11915	ClpXP protease specificity-enhancing factor	WP_008344157.1					-	stringent starvation protein b	ko:K03600	-	ko00000,ko03021	-	-	SspB
NCS66_RS11925	cytochrome c1	WP_008344153.1					-	Cytochrome C1	ko:K00413	M00151,M00152	ko00000,ko00001,ko00002	-	-	Cytochrom_C1
NCS66_RS11930	cytochrome bc complex cytochrome b subunit	WP_250480705.1					-	Component of the ubiquinol-cytochrome c reductase complex (complex III or cytochrome b-c1 complex), which is a respiratory chain that generates an electrochemical potential coupled to ATP synthesis	ko:K00412	M00151,M00152	ko00000,ko00001,ko00002,ko03029	-	-	Cytochrom_B_C,Cytochrome_B
NCS66_RS11935	ubiquinol-cytochrome c reductase iron-sulfur subunit	WP_008344151.1	electron transfer activity|0009055||IEA	aerobic respiration|0009060||IEA	respiratory chain complex III|0045275||IEA	petA	-	Component of the ubiquinol-cytochrome c reductase complex (complex III or cytochrome b-c1 complex), which is a respiratory chain that generates an electrochemical potential coupled to ATP synthesis	ko:K00411	M00151,M00152	ko00000,ko00001,ko00002,ko01000	-	-	Rieske,UCR_Fe-S_N
NCS66_RS11970	membrane protein	WP_008344144.1					-	membrane	-	-	-	-	-	-
NCS66_RS11975	phosphoribosyl-ATP diphosphatase	WP_008344143.1	phosphoribosyl-ATP diphosphatase activity|0004636||IEA	histidine biosynthetic process|0000105||IEA			-	Phosphoribosyl-ATP	ko:K01523	M00026	ko00000,ko00001,ko00002,ko01000	-	-	PRA-PH
NCS66_RS11980	phosphoribosyl-AMP cyclohydrolase	WP_174447750.1	phosphoribosyl-AMP cyclohydrolase activity|0004635||IEA	histidine biosynthetic process|0000105||IEA		hisI	-	Catalyzes the hydrolysis of the adenine ring of phosphoribosyl-AMP	ko:K01496,ko:K11755	M00026	ko00000,ko00001,ko00002,ko01000	-	-	PRA-CH
NCS66_RS12020	ATP phosphoribosyltransferase	WP_008344130.1	ATP phosphoribosyltransferase activity|0003879||IEA	histidine biosynthetic process|0000105||IEA	cytoplasm|0005737||IEA	hisG	-	Catalyzes the condensation of ATP and 5-phosphoribose 1- diphosphate to form N'-(5'-phosphoribosyl)-ATP (PR-ATP). Has a crucial role in the pathway because the rate of histidine biosynthesis seems to be controlled primarily by regulation of HisG enzymatic activity	ko:K00765	M00026	ko00000,ko00001,ko00002,ko01000	-	-	HisG
NCS66_RS12030	BolA family protein	WP_008344127.1	2 iron, 2 sulfur cluster binding|0051537||IEA		iron-sulfur cluster assembly complex|1990229||IEA		-	Belongs to the BolA IbaG family	-	-	-	-	-	BolA
NCS66_RS12085	sulfur carrier protein ThiS	WP_250480712.1	catalytic activity|0003824||IEA	thiamine biosynthetic process|0009228||IEA		thiS	-	thiamine biosynthesis protein ThiS	ko:K03154	-	ko00000,ko00001	-	-	ThiS
NCS66_RS12090	FAD-dependent oxidoreductase	WP_250480713.1	oxidoreductase activity|0016491||IEA				-	PFAM FAD dependent oxidoreductase	ko:K03153	-	ko00000,ko00001,ko01000	-	-	DAO
NCS66_RS12120	OmpW family outer membrane protein	WP_034473121.1			outer membrane|0019867||IEA		-	OmpW family	ko:K07275	-	ko00000	-	-	OmpW
NCS66_RS12125	DUF883 family protein	WP_033536968.1					-	Bacterial protein of unknown function (DUF883)	-	-	-	-	-	DUF883
NCS66_RS12175	type 4a pilus biogenesis protein PilO	WP_250480718.1		type IV pilus assembly|0043683||IEA		pilO	-	carbon utilization	-	-	-	-	-	PilO
NCS66_RS12180	fimbrial assembly family protein	WP_250480719.1					-	PFAM Fimbrial assembly family protein	ko:K02663	-	ko00000,ko02035,ko02044	-	-	-
NCS66_RS12185	pilus assembly protein PilM	WP_250480720.1				pilM	-	Pilus assembly protein	-	-	-	-	-	PilM_2
NCS66_RS12200	lipoprotein	WP_008344068.1					-	-	-	-	-	-	-	LPAM_2
NCS66_RS12220	c-type cytochrome biogenesis protein CcsB	WP_008344060.1	heme binding|0020037||IEA	cytochrome complex assembly|0017004||IEA		ccsB	-	Pfam Cytochrome C assembly protein	-	-	-	-	-	Cytochrom_C_asm
NCS66_RS12225	cytochrome c biogenesis protein ResB	WP_250435271.1		cytochrome complex assembly|0017004||IEA	membrane|0016020||IEA		-	cytochrome c biogenesis protein	ko:K07399	-	ko00000	-	-	ResB
NCS66_RS12230	c-type cytochrome	WP_250480722.1	heme binding|0020037||IEA				-	PFAM cytochrome c, class I	-	-	-	-	-	Cytochrom_C,Cytochrome_CBB3
NCS66_RS12475	GTP-binding protein	WP_042615313.1	GTP binding|0005525||IEA				GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis	ko:K02358	-	ko00000,ko03012,ko03029,ko04147	-	-	GTP_EFTU,GTP_EFTU_D2,GTP_EFTU_D3
NCS66_RS12495	SGNH/GDSL hydrolase family protein	WP_250478891.1					-	G-D-S-L family	-	-	-	-	-	Lipase_GDSL_2
NCS66_RS12500	class I SAM-dependent methyltransferase	WP_250480726.1					-	Pfam Methyltransferase small	-	-	-	-	-	MTS
NCS66_RS12505	TIGR03862 family flavoprotein	WP_250480727.1					-	PFAM HI0933 family protein	ko:K07007	-	ko00000	-	-	HI0933_like
NCS66_RS12510	MFS transporter	WP_175983307.1	transmembrane transporter activity|0022857||IEA	transmembrane transport|0055085||IEA			-	Major Facilitator	-	-	-	-	-	Sugar_tr
NCS66_RS12515	DUF1835 domain-containing protein	WP_034473234.1					-	Domain of unknown function (DUF1835)	-	-	-	-	-	DUF1835,DUF3658
NCS66_RS12520	TetR/AcrR family transcriptional regulator	WP_008352714.1					-	PFAM regulatory protein TetR	ko:K09017	-	ko00000,ko03000	-	-	TetR_N
NCS66_RS12525	GNAT family N-acetyltransferase	WP_235366314.1	N-acetyltransferase activity|0008080||IEA				-	PFAM GCN5-related N-acetyltransferase	-	-	-	-	-	Acetyltransf_1,Acetyltransf_3
NCS66_RS12540	hypothetical protein	WP_250480728.1					-	-	-	-	-	-	-	-
NCS66_RS12545	indolepyruvate ferredoxin oxidoreductase family protein	WP_175979592.1					-	oxidoreductase	ko:K04090	-	br01601,ko00000,ko01000	-	-	POR,TPP_enzyme_C
NCS66_RS12555	MFS transporter	WP_250480729.1	transmembrane transporter activity|0022857||IEA	transmembrane transport|0055085||IEA			-	Major facilitator Superfamily	-	-	-	-	-	MFS_1,Sugar_tr
NCS66_RS12575	flavodoxin family protein	WP_175979594.1	FMN binding|0010181||IEA				-	flavodoxin nitric oxide synthase	ko:K03809	-	ko00000,ko00001,ko01000	-	-	FMN_red
NCS66_RS12585	response regulator	WP_008352689.1		phosphorelay signal transduction system|0000160||IEA			-	cheY-homologous receiver domain	-	-	-	-	-	Response_reg
