locus_tag	product	protein_id	go_function	go_process	go_component	gene	GOs	Description	KEGG_ko	KEGG_Module	BRITE	KEGG_TC	CAZy	PFAMs
LDZ24_RS08710	ComEC/Rec2 family competence protein	WP_248320100.1					-	Competence protein ComEC	ko:K02238	M00429	ko00000,ko00002,ko02044	3.A.11.1,3.A.11.2	-	Competence,DUF4131,Lactamase_B
LDZ24_RS08855	ABC transporter permease	WP_371747336.1		transport|0006810||IEA	plasma membrane|0005886||IEA		-	abc transporter, permease	ko:K02004	M00258	ko00000,ko00002,ko02000	3.A.1	-	FtsX,MacB_PCD
LDZ24_RS08870	cytochrome ubiquinol oxidase subunit I	WP_248320133.1					-	cytochrome bd ubiquinol oxidase, subunit I	ko:K00425	M00153	ko00000,ko00001,ko00002,ko01000	3.D.4.3	-	Cyt_bd_oxida_I
LDZ24_RS08875	cytochrome d ubiquinol oxidase subunit II	WP_175944278.1	oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor|0016682||IEA			cydB	-	Cytochrome d ubiquinol oxidase, subunit II	ko:K00426	M00153	ko00000,ko00001,ko00002,ko01000	3.D.4.3	-	Cyt_bd_oxida_II
LDZ24_RS08980	sugar ABC transporter substrate-binding protein	WP_175944318.1					-	ABC transporter substrate-binding protein	ko:K02058	M00221	ko00000,ko00002,ko02000	3.A.1.2	-	Peripla_BP_4
LDZ24_RS08985	ABC transporter permease	WP_248320162.1	transmembrane transporter activity|0022857||IEA	carbohydrate transport|0008643||IEA	plasma membrane|0005886||IEA		-	Belongs to the binding-protein-dependent transport system permease family	ko:K02057	M00221	ko00000,ko00002,ko02000	3.A.1.2	-	BPD_transp_2
LDZ24_RS08990	ATP-binding cassette domain-containing protein	WP_371747337.1	ATP binding|0005524||IEA				-	ABC transporter	ko:K02056	M00221	ko00000,ko00002,ko01000,ko02000	3.A.1.2	-	ABC_tran
LDZ24_RS09025	branched-chain amino acid ABC transporter permease	WP_248320175.1					-	Belongs to the binding-protein-dependent transport system permease family	ko:K01995,ko:K01998	M00237	ko00000,ko00001,ko00002,ko02000	3.A.1.4	-	ABC_tran,BCA_ABC_TP_C,BPD_transp_2
LDZ24_RS09030	branched-chain amino acid ABC transporter permease	WP_248322317.1	ABC-type transporter activity|0140359||IEA		ATP-binding cassette (ABC) transporter complex|0043190||IEA		-	Belongs to the binding-protein-dependent transport system permease family	ko:K01997	M00237	ko00000,ko00001,ko00002,ko02000	3.A.1.4	-	BPD_transp_2
LDZ24_RS09285	ABC transporter ATP-binding protein	WP_241269898.1	ABC-type transporter activity|0140359||IEA		ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing|0055052||IEA		-	abc transporter	ko:K06147	-	ko00000,ko02000	3.A.1.106,3.A.1.109,3.A.1.21	-	ABC_membrane,ABC_tran
LDZ24_RS09645	MATE family efflux transporter	WP_248320271.1	xenobiotic transmembrane transporter activity|0042910||IEA	xenobiotic transmembrane transport|0006855||IEA	membrane|0016020||IEA		-	MATE efflux family protein	ko:K03327	-	ko00000,ko02000	2.A.66.1	-	MatE
LDZ24_RS09830	helix-hairpin-helix domain-containing protein	WP_244846977.1					-	Helix-hairpin-helix motif	ko:K02237	M00429	ko00000,ko00002,ko02044	3.A.11.1,3.A.11.2	-	HHH_3
LDZ24_RS09905	outer membrane protein OmpA	WP_248320306.1	porin activity|0015288||IEA	monoatomic ion transport|0006811||IEA		ompA	-	Belongs to the ompA family	ko:K03286	-	ko00000,ko02000	1.B.6	-	OmpA
LDZ24_RS09970	cation diffusion facilitator family transporter	WP_248320317.1	monoatomic cation transmembrane transporter activity|0008324||IEA				-	TIGRFAM cation diffusion facilitator family transporter	ko:K16264	-	ko00000,ko02000	2.A.4.1	-	Cation_efflux,ZT_dimer
LDZ24_RS10010	cation:proton antiporter	WP_248320325.1					-	Pfam Sodium hydrogen exchanger	ko:K03455	-	ko00000	2.A.37	-	Na_H_Exchanger
LDZ24_RS10060	urea ABC transporter substrate-binding protein	WP_248320331.1	ATPase-coupled urea transmembrane transporter activity|0033221||IEA	urea transport|0015840||IEA	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing|0055052||IEA	urtA	-	abc transporter	ko:K11959	M00323	ko00000,ko00001,ko00002,ko02000	3.A.1.4.4,3.A.1.4.5	-	Peripla_BP_5
LDZ24_RS10065	urea ABC transporter permease subunit UrtB	WP_248320332.1	ATPase-coupled urea transmembrane transporter activity|0033221||IEA	urea transport|0015840||IEA	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing|0055052||IEA	urtB	-	Belongs to the binding-protein-dependent transport system permease family	ko:K11960	M00323	ko00000,ko00001,ko00002,ko02000	3.A.1.4.4,3.A.1.4.5	-	BPD_transp_2
LDZ24_RS10070	urea ABC transporter permease subunit UrtC	WP_248320333.1	ATPase-coupled urea transmembrane transporter activity|0033221||IEA	urea transport|0015840||IEA	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing|0055052||IEA	urtC	-	Belongs to the binding-protein-dependent transport system permease family	ko:K11961	M00323	ko00000,ko00001,ko00002,ko02000	3.A.1.4.4,3.A.1.4.5	-	BPD_transp_2
LDZ24_RS10090	transporter substrate-binding domain-containing protein	WP_248320337.1					-	PFAM extracellular solute-binding protein, family 3	ko:K02030,ko:K10022	M00235,M00236	ko00000,ko00001,ko00002,ko02000	3.A.1.3,3.A.1.3.11	-	SBP_bac_3
LDZ24_RS10095	amino acid ABC transporter permease	WP_248320338.1	ABC-type transporter activity|0140359||IEA	amino acid transport|0006865||IEA			-	polar amino acid ABC transporter, inner membrane subunit	ko:K02029	M00236	ko00000,ko00002,ko02000	3.A.1.3	-	BPD_transp_1
LDZ24_RS10170	oligosaccharide flippase family protein	WP_248320346.1					-	biosynthesis protein	ko:K03328	-	ko00000	2.A.66.2	-	Polysacc_synt,Polysacc_synt_3
LDZ24_RS10205	oligosaccharide flippase family protein	WP_248320353.1					-	PFAM polysaccharide biosynthesis protein	ko:K03328	-	ko00000	2.A.66.2	-	Polysacc_synt_3,Polysacc_synt_C
LDZ24_RS10505	ABC transporter ATP-binding protein	WP_248320401.1					-	ABC transporter	ko:K09691	M00250	ko00000,ko00001,ko00002,ko02000	3.A.1.103	-	ABC_tran,Wzt_C
LDZ24_RS10510	ABC transporter permease	WP_248320402.1	ABC-type transporter activity|0140359||IEA		ATP-binding cassette (ABC) transporter complex|0043190||IEA		-	PFAM ABC-2 type transporter	ko:K09690	M00250	ko00000,ko00001,ko00002,ko02000	3.A.1.103	-	ABC2_membrane
LDZ24_RS10515	glycosyltransferase	WP_371747343.1					-	glycosyl transferase family 2	ko:K07011,ko:K20444	-	ko00000,ko01000,ko01005,ko02000	4.D.1.3	GT2,GT4	Glyco_tranf_2_3,Glyco_trans_1_4,Glycos_transf_2,Methyltransf_23
LDZ24_RS10940	type IV pilin protein	WP_248320465.1					-	Type IV minor pilin ComP, DNA uptake sequence receptor	ko:K02655	-	ko00000,ko02035,ko02044	3.A.15.2	-	ComP_DUS,N_methyl
LDZ24_RS10960	GspH/FimT family pseudopilin	WP_248320469.1		protein secretion by the type II secretion system|0015628||IEA	type II protein secretion system complex|0015627||IEA		-	Type II transport protein GspH	ko:K08084	-	ko00000,ko02044	3.A.15.2	-	GspH,N_methyl
LDZ24_RS10995	cell envelope integrity protein TolA	WP_248320472.1	transporter activity|0005215||IEA	transport|0006810||IEA	periplasmic side of plasma membrane|0098567||IEA	tolA	-	TIGRFAM protein TolA	ko:K03646	-	ko00000,ko02000	2.C.1.2	-	TonB_2
LDZ24_RS11005	peptidoglycan-associated lipoprotein Pal	WP_244847193.1			cell outer membrane|0009279||IEA	pal	-	Belongs to the ompA family	ko:K03640	-	ko00000,ko02000	2.C.1.2	-	OmpA
LDZ24_RS11085	LPS-assembly protein LptD	WP_248320485.1					-	Together with LptE, is involved in the assembly of lipopolysaccharide (LPS) at the surface of the outer membrane	ko:K04744	-	ko00000,ko02000	1.B.42.1	-	OstA,OstA_C
LDZ24_RS11160	LPS assembly lipoprotein LptE	WP_175945307.1		Gram-negative-bacterium-type cell outer membrane assembly|0043165||IEA	outer membrane|0019867||IEA	lptE	-	Together with LptD, is involved in the assembly of lipopolysaccharide (LPS) at the surface of the outer membrane. Required for the proper assembly of LptD. Binds LPS and may serve as the LPS recognition site at the outer membrane	ko:K03643	-	ko00000,ko02000	1.B.42.1	-	LptE
LDZ24_RS11170	biopolymer transporter ExbD	WP_248320496.1	transmembrane transporter activity|0022857||IEA		membrane|0016020||IEA		-	Biopolymer transport protein, ExbD	ko:K03559	-	ko00000,ko02000	1.A.30.2.1	-	ExbD
LDZ24_RS11175	MotA/TolQ/ExbB proton channel family protein	WP_248320497.1		protein transport|0015031||IEA	plasma membrane|0005886||IEA		-	PFAM MotA TolQ ExbB proton channel	ko:K03561	-	ko00000,ko02000	1.A.30.2.1	-	MotA_ExbB
LDZ24_RS11185	outer membrane protein assembly factor BamE	WP_248320499.1					-	Part of the outer membrane protein assembly complex, which is involved in assembly and insertion of beta-barrel proteins into the outer membrane	ko:K06186	-	ko00000,ko02000	1.B.33.1	-	SmpA_OmlA
LDZ24_RS11485	type II secretion system F family protein	WP_248320535.1			membrane|0016020||IEA		-	Type II secretion system	ko:K02653	-	ko00000,ko02035,ko02044	3.A.15.2	-	T2SSF
LDZ24_RS11640	molybdopterin-dependent oxidoreductase	WP_248320551.1					-	Belongs to the prokaryotic molybdopterin-containing oxidoreductase family	ko:K07812	-	ko00000,ko01000,ko02000	5.A.3.4	-	Molybdop_Fe4S4,Molybdopterin,Molydop_binding
LDZ24_RS11760	DsbC family protein	WP_248320565.1					-	Required for disulfide bond formation in some periplasmic proteins. Acts by transferring its disulfide bond to other proteins and is reduced in the process	ko:K03981	-	ko00000,ko01000,ko02044,ko03110	3.A.7.11.1	-	DsbC_N,Thioredoxin_2
LDZ24_RS11905	Hsp70 family protein	WP_248320584.1	ATP-dependent protein folding chaperone|0140662||IEA				-	heat shock protein 70	ko:K04046	-	ko00000,ko03110	1.A.33	-	HSP70
LDZ24_RS12040	Sec-independent protein translocase protein TatB	WP_248320598.1	protein transmembrane transporter activity|0008320||IEA	protein secretion by the type II secretion system|0015628||IEA	membrane|0016020||IEA	tatB	-	Part of the twin-arginine translocation (Tat) system that transports large folded proteins containing a characteristic twin-arginine motif in their signal peptide across membranes. Together with TatC, TatB is part of a receptor directly interacting with Tat signal peptides. TatB may form an oligomeric binding site that transiently accommodates folded Tat precursor proteins before their translocation	ko:K03117	M00336	ko00000,ko00001,ko00002,ko02044	2.A.64	-	MttA_Hcf106
LDZ24_RS12130	lipid asymmetry maintenance protein MlaB	WP_175946510.1					-	STAS domain	ko:K07122	M00210	ko00000,ko00001,ko00002,ko02000	3.A.1.27.3	-	STAS_2
LDZ24_RS12135	phospholipid-binding protein MlaC	WP_175946508.1					-	toluene tolerance	ko:K07323	M00210	ko00000,ko00001,ko00002,ko02000	3.A.1.27.3	-	MlaC
LDZ24_RS12180	ABC transporter ATP-binding protein/permease	WP_248320610.1					-	abc transporter	ko:K02471	-	ko00000,ko00001,ko02000	3.A.1.203.11,3.A.1.203.4	-	ABC_membrane_2,ABC_tran
LDZ24_RS12250	type IV pilus secretin PilQ	WP_248320621.1					-	type IV pilus secretin PilQ	ko:K02666	-	ko00000,ko02035,ko02044	3.A.15.2	-	AMIN,STN,Secretin,Secretin_N
LDZ24_RS12540	preprotein translocase subunit SecE	WP_175946423.1				secE	-	Essential subunit of the Sec protein translocation channel SecYEG. Clamps together the 2 halves of SecY. May contact the channel plug during translocation	ko:K03073	M00335	ko00000,ko00001,ko00002,ko02044	3.A.5.1,3.A.5.2	-	SecE
LDZ24_RS12875	glutathione S-transferase family protein	WP_248320684.1					-	Glutathione S-transferase	ko:K00799	-	ko00000,ko00001,ko01000,ko02000	1.A.12.2.2,1.A.12.3.2	-	GST_C_2,GST_C_3,GST_C_4,GST_N_3
LDZ24_RS12975	CidA/LrgA family protein	WP_248320694.1					-	PFAM LrgA family protein	ko:K06518	-	ko00000,ko02000	1.E.14.2	-	LrgA
LDZ24_RS13030	flagellar assembly protein FliH	WP_175938529.1	cytoskeletal motor activity|0003774||IEA		bacterial-type flagellum|0009288||IEA	fliH	-	Flagellar assembly protein flih	ko:K02411	-	ko00000,ko00001,ko02035,ko02044	3.A.6.2	-	FliH
LDZ24_RS13085	flagellar biosynthetic protein FliO	WP_248320708.1		bacterial-type flagellum organization|0044781||IEA	membrane|0016020||IEA	fliO	-	flagellar	ko:K02418	-	ko00000,ko00001,ko02035,ko02044	3.A.6.2	-	FliO
LDZ24_RS13325	branched-chain amino acid ABC transporter substrate-binding protein	WP_248320737.1	ABC-type transporter activity|0140359||IEA	transmembrane transport|0055085||IEA			-	amino acid	ko:K01999	M00237	ko00000,ko00001,ko00002,ko02000	3.A.1.4	-	Peripla_BP_6
LDZ24_RS13385	F0F1 ATP synthase subunit delta	WP_175938660.1	proton-transporting ATP synthase activity, rotational mechanism|0046933||IEA	proton motive force-driven ATP synthesis|0015986||IEA			-	F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation	ko:K02113	M00157	ko00000,ko00001,ko00002,ko00194	3.A.2.1	-	OSCP
LDZ24_RS13395	F0F1 ATP synthase subunit C	WP_175938665.1	proton transmembrane transporter activity|0015078||IEA	proton motive force-driven ATP synthesis|0015986||IEA		atpE	-	F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation	ko:K02110	M00157	ko00000,ko00001,ko00002,ko00194	3.A.2.1	-	ATP-synt_C
LDZ24_RS13405	ATP synthase subunit I	WP_248320747.1					-	atp synthase	ko:K02116	-	ko00000,ko00194	3.A.2.1	-	ATP-synt_I
LDZ24_RS13440	ATP-binding cassette domain-containing protein	WP_248320751.1	ATP binding|0005524||IEA				-	Belongs to the binding-protein-dependent transport system permease family	ko:K01995,ko:K01998	M00237	ko00000,ko00001,ko00002,ko02000	3.A.1.4	-	ABC_tran,BCA_ABC_TP_C,BPD_transp_2
LDZ24_RS13445	branched-chain amino acid ABC transporter permease	WP_248320752.1	ABC-type transporter activity|0140359||IEA		ATP-binding cassette (ABC) transporter complex|0043190||IEA		-	Belongs to the binding-protein-dependent transport system permease family	ko:K01997	M00237	ko00000,ko00001,ko00002,ko02000	3.A.1.4	-	BPD_transp_2
LDZ24_RS13450	ABC transporter substrate-binding protein	WP_248320753.1					-	amino acid	ko:K01999	M00237	ko00000,ko00001,ko00002,ko02000	3.A.1.4	-	Peripla_BP_6
LDZ24_RS13455	ABC transporter substrate-binding protein	WP_248320754.1					-	amino acid	ko:K01999	M00237	ko00000,ko00001,ko00002,ko02000	3.A.1.4	-	Peripla_BP_6
LDZ24_RS13460	branched-chain amino acid ABC transporter permease	WP_175940556.1					-	Belongs to the binding-protein-dependent transport system permease family	ko:K01998	M00237	ko00000,ko00001,ko00002,ko02000	3.A.1.4	-	BPD_transp_2
LDZ24_RS13465	branched-chain amino acid ABC transporter permease	WP_248320755.1	ABC-type transporter activity|0140359||IEA		ATP-binding cassette (ABC) transporter complex|0043190||IEA		-	Belongs to the binding-protein-dependent transport system permease family	ko:K01997	M00237	ko00000,ko00001,ko00002,ko02000	3.A.1.4	-	BPD_transp_2
LDZ24_RS13470	ABC transporter substrate-binding protein	WP_248320756.1					-	abc transporter	ko:K01999	M00237	ko00000,ko00001,ko00002,ko02000	3.A.1.4	-	Peripla_BP_6
LDZ24_RS13565	type II secretion system secretin GspD	WP_248320766.1		protein secretion by the type II secretion system|0015628||IEA	outer membrane|0019867||IEA	gspD	-	general secretion pathway protein D	ko:K02453	M00331	ko00000,ko00001,ko00002,ko02044	3.A.15	-	Secretin,Secretin_N
LDZ24_RS13575	type II secretion system inner membrane protein GspF	WP_175938722.1		protein secretion by the type II secretion system|0015628||IEA	type II protein secretion system complex|0015627||IEA	gspF	-	General secretion pathway protein F	ko:K02455	M00331	ko00000,ko00001,ko00002,ko02044	3.A.15	-	T2SSF
LDZ24_RS13580	general secretion pathway protein GspC	WP_206467272.1					-	general secretion pathway protein	ko:K02452	M00331	ko00000,ko00001,ko00002,ko02044	3.A.15	-	T2SSC
LDZ24_RS13590	GspH/FimT family pseudopilin	WP_255774822.1		protein secretion by the type II secretion system|0015628||IEA	type II protein secretion system complex|0015627||IEA		-	general secretion pathway protein	ko:K02457	M00331	ko00000,ko00001,ko00002,ko02044	3.A.15	-	GspH,N_methyl
LDZ24_RS13595	type II secretion system minor pseudopilin GspI	WP_248320767.1		protein secretion by the type II secretion system|0015628||IEA	type II protein secretion system complex|0015627||IEA	gspI	-	General secretion pathway protein I	ko:K02458	M00331	ko00000,ko00001,ko00002,ko02044	3.A.15	-	N_methyl,T2SSI
LDZ24_RS13600	prepilin-type N-terminal cleavage/methylation domain-containing protein	WP_248320768.1					-	general secretion pathway protein	ko:K02459	M00331	ko00000,ko00001,ko00002,ko02044	3.A.15	-	N_methyl,T2SSJ
LDZ24_RS13605	type II secretion system minor pseudopilin GspK	WP_248320769.1		protein secretion|0009306||IEA	membrane|0016020||IEA	gspK	-	general secretion pathway protein K	ko:K02460	M00331	ko00000,ko00001,ko00002,ko02044	3.A.15	-	T2SSK
LDZ24_RS13610	type II secretion system protein GspL	WP_248320770.1		protein secretion by the type II secretion system|0015628||IEA	type II protein secretion system complex|0015627||IEA	gspL	-	General secretion pathway protein L	ko:K02461	M00331	ko00000,ko00001,ko00002,ko02044	3.A.15	-	GspL_C,T2SSL
LDZ24_RS13615	type II secretion system protein GspM	WP_175938736.1		protein secretion by the type II secretion system|0015628||IEA	type II protein secretion system complex|0015627||IEA	gspM	-	General secretion pathway	ko:K02462	M00331	ko00000,ko00001,ko00002,ko02044	3.A.15	-	T2SSM
LDZ24_RS13620	type II secretion system protein N	WP_248320771.1					-	general secretion pathway protein	ko:K02463	M00331	ko00000,ko00001,ko00002,ko02044	3.A.15	-	T2SSN
LDZ24_RS13750	amino acid permease	WP_305854670.1	transmembrane transporter activity|0022857||IEA	transmembrane transport|0055085||IEA	membrane|0016020||IEA		-	amino acid	ko:K03294	-	ko00000	2.A.3.2	-	AA_permease_2
LDZ24_RS13820	branched-chain amino acid ABC transporter substrate-binding protein	WP_159837420.1	ABC-type transporter activity|0140359||IEA	transmembrane transport|0055085||IEA			-	amino acid	ko:K01999	M00237	ko00000,ko00001,ko00002,ko02000	3.A.1.4	-	Peripla_BP_6
LDZ24_RS13885	c-type cytochrome	WP_248320812.1	heme binding|0020037||IEA				-	cytochrome C	ko:K08738	M00595	ko00000,ko00001,ko00002	3.D.4.6	-	Cytochrom_C,Cytochrome_CBB3
LDZ24_RS14100	MgtC/SapB family protein	WP_248322865.1			plasma membrane|0005886||IEA		-	MgtC family	ko:K07507	-	ko00000,ko02000	9.B.20	-	MgtC
LDZ24_RS14240	MFS transporter	WP_248322891.1	transmembrane transporter activity|0022857||IEA	transmembrane transport|0055085||IEA			-	transporter	ko:K08369	-	ko00000,ko02000	2.A.1	-	MFS_1,MFS_4,Sugar_tr
LDZ24_RS14300	glycine betaine ABC transporter substrate-binding protein	WP_175940855.1					-	PFAM Substrate-binding region of ABC-type glycine betaine transport system	ko:K02002	M00208	ko00000,ko00001,ko00002,ko02000	3.A.1.12	-	OpuAC
LDZ24_RS14365	branched-chain amino acid ABC transporter substrate-binding protein	WP_248322909.1	ABC-type transporter activity|0140359||IEA	transmembrane transport|0055085||IEA			-	PFAM Extracellular ligand-binding receptor	ko:K01999	M00237	ko00000,ko00001,ko00002,ko02000	3.A.1.4	-	Peripla_BP_6
LDZ24_RS14400	substrate-binding domain-containing protein	WP_248322915.1					-	Periplasmic binding protein domain	ko:K10439	M00212	ko00000,ko00001,ko00002,ko02000	3.A.1.2.1,3.A.1.2.13,3.A.1.2.19	-	Peripla_BP_4
LDZ24_RS14465	chromate transporter	WP_248322925.1	chromate transmembrane transporter activity|0015109||IEA	chromate transport|0015703||IEA			-	Chromate transporter	ko:K07240	-	ko00000,ko02000	2.A.51.1	-	Chromate_transp
LDZ24_RS14470	chromate transporter	WP_248322926.1					-	Chromate transporter	ko:K07240	-	ko00000,ko02000	2.A.51.1	-	Chromate_transp
LDZ24_RS14730	flippase	WP_248322967.1	flippase activity|0140327||IEA				-	Polysaccharide biosynthesis protein	ko:K03328	-	ko00000	2.A.66.2	-	Polysacc_synt,Polysacc_synt_C
LDZ24_RS14945	glutathione S-transferase N-terminal domain-containing protein	WP_371747445.1	protein binding|0005515||IEA	glutathione metabolic process|0006749||IEA			-	Glutathione S-transferase	ko:K00799	-	ko00000,ko00001,ko01000,ko02000	1.A.12.2.2,1.A.12.3.2	-	GST_C_2,GST_N_3
LDZ24_RS14965	glutathione S-transferase family protein	WP_256465414.1	protein binding|0005515||IEA	glutathione metabolic process|0006749||IEA			-	Glutathione S-transferase	ko:K00799	-	ko00000,ko00001,ko01000,ko02000	1.A.12.2.2,1.A.12.3.2	-	GST_C_2,GST_N_3
LDZ24_RS15015	type VI secretion system baseplate subunit TssF	WP_248323015.1		protein secretion by the type VI secretion system|0033103||IEA		tssF	-	type VI secretion protein	ko:K11896	M00334	ko00000,ko00002,ko02044	3.A.23.1	-	T6SS_TssF,T6SS_TssG
LDZ24_RS15020	contractile injection system protein, VgrG/Pvc8 family	WP_248323016.1					-	Rhs element Vgr	ko:K11904	M00334	ko00000,ko00001,ko00002,ko02044	3.A.23.1	-	DUF2345,Phage_GPD,T6SS_Vgr
LDZ24_RS15215	HlyD family secretion protein	WP_248323049.1	transmembrane transporter activity|0022857||IEA	transmembrane transport|0055085||IEA	membrane|0016020||IEA		-	PFAM secretion protein HlyD family protein	ko:K03543	M00701	ko00000,ko00002,ko02000	8.A.1.1	-	Biotin_lipoyl_2,HlyD_D23
LDZ24_RS15220	DHA2 family efflux MFS transporter permease subunit	WP_248323050.1	transmembrane transporter activity|0022857||IEA	xenobiotic transmembrane transport|0006855||IEA	membrane|0016020||IEA		-	Major facilitator Superfamily	ko:K03446	M00701	ko00000,ko00002,ko02000	2.A.1.3	-	MFS_1
LDZ24_RS15485	TRAP transporter large permease	WP_248323096.1	transmembrane transporter activity|0022857||IEA	carbohydrate transport|0008643||IEA	tripartite ATP-independent periplasmic transporter complex|0031317||IEA		-	Tripartite ATP-independent periplasmic transporter, DctM component	ko:K21393	-	ko00000,ko02000	2.A.56.1	-	DctM
LDZ24_RS15495	cellulose synthase subunit BcsC-related outer membrane protein	WP_248323097.1		cellulose biosynthetic process|0030244||IEA	outer membrane|0019867||IEA		-	cellulose synthase operon C domain protein	ko:K20543	-	ko00000,ko02000	1.B.55.3	-	BCSC_C,TPR_16,TPR_19,TPR_4,TPR_7,TPR_8
LDZ24_RS15505	cellulose biosynthesis cyclic di-GMP-binding regulatory protein BcsB	WP_248323099.1				bcsB	-	cellulose synthase	ko:K20541	-	ko00000,ko02000	4.D.3.1.6	-	BcsB
LDZ24_RS15640	ABC transporter permease	WP_248323124.1					-	Belongs to the binding-protein-dependent transport system permease family	ko:K01997,ko:K01998	M00237	ko00000,ko00001,ko00002,ko02000	3.A.1.4	-	BPD_transp_2
LDZ24_RS15655	ABC transporter substrate-binding protein	WP_248323127.1					-	PFAM Extracellular ligand-binding receptor	ko:K01999	M00237	ko00000,ko00001,ko00002,ko02000	3.A.1.4	-	Peripla_BP_6
LDZ24_RS15895	DMT family transporter	WP_248323167.1	transmembrane transporter activity|0022857||IEA	transmembrane transport|0055085||IEA	membrane|0016020||IEA		-	EamA-like transporter family	ko:K15270	-	ko00000,ko02000	2.A.7.3.7	-	EamA
LDZ24_RS15935	glutathione S-transferase family protein	WP_248323172.1	protein binding|0005515||IEA	glutathione metabolic process|0006749||IEA			-	Belongs to the GST superfamily	ko:K00799	-	ko00000,ko00001,ko01000,ko02000	1.A.12.2.2,1.A.12.3.2	-	GST_C,GST_C_3,GST_N,GST_N_3
LDZ24_RS16010	ABC transporter permease	WP_371747463.1	transmembrane transporter activity|0022857||IEA	carbohydrate transport|0008643||IEA	plasma membrane|0005886||IEA		-	Belongs to the binding-protein-dependent transport system permease family	ko:K10560	M00220	ko00000,ko00001,ko00002,ko02000	3.A.1.2.9	-	BPD_transp_2
LDZ24_RS16015	ABC transporter permease	WP_248323185.1	transmembrane transporter activity|0022857||IEA	carbohydrate transport|0008643||IEA	plasma membrane|0005886||IEA		-	Belongs to the binding-protein-dependent transport system permease family	ko:K10561	M00220	ko00000,ko00001,ko00002,ko02000	3.A.1.2.9	-	BPD_transp_2
LDZ24_RS16020	rhamnose ABC transporter substrate-binding protein	WP_248323186.1	rhamnose binding|0033296||IEA	rhamnose transmembrane transport|0015762||IEA	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing|0055052||IEA	rhaS	-	TIGRFAM rhamnose ABC transporter, periplasmic rhamnose-binding protein	ko:K10559	M00220	ko00000,ko00001,ko00002,ko02000	3.A.1.2.9	-	Peripla_BP_4
LDZ24_RS16055	HoxN/HupN/NixA family nickel/cobalt transporter	WP_248323190.1					-	Belongs to the NiCoT transporter (TC 2.A.52) family	ko:K07241	-	ko00000,ko02000	2.A.52.1	-	NicO
LDZ24_RS16115	magnesium/cobalt transporter CorA	WP_248323200.1	magnesium ion transmembrane transporter activity|0015095||IEA	magnesium ion transport|0015693||IEA	membrane|0016020||IEA	corA	-	Mediates influx of magnesium ions	ko:K03284	-	ko00000,ko02000	1.A.35.1,1.A.35.3	-	CorA
LDZ24_RS16355	extracellular solute-binding protein	WP_248323238.1					-	Bacterial extracellular solute-binding protein	ko:K02055	M00193	ko00000,ko00001,ko00002,ko02000	3.A.1.11	-	SBP_bac_8
LDZ24_RS16365	ABC transporter permease	WP_248323239.1	ABC-type transporter activity|0140359||IEA	transmembrane transport|0055085||IEA	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing|0055052||IEA		-	PFAM binding-protein-dependent transport systems inner membrane component	ko:K02054	M00193	ko00000,ko00001,ko00002,ko02000	3.A.1.11	-	BPD_transp_1
LDZ24_RS16370	ABC transporter permease	WP_371747464.1	ABC-type transporter activity|0140359||IEA	transmembrane transport|0055085||IEA	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing|0055052||IEA		-	PFAM binding-protein-dependent transport systems inner membrane component	ko:K02053	M00193	ko00000,ko00001,ko00002,ko02000	3.A.1.11	-	BPD_transp_1
LDZ24_RS16400	bifunctional lysylphosphatidylglycerol flippase/synthetase MprF	WP_248323244.1				mprF	-	Uncharacterised conserved protein (DUF2156)	ko:K07027,ko:K14205	M00726	ko00000,ko00001,ko00002,ko01000,ko01504,ko02000	2.A.1.3.37,4.D.2	-	DUF2156,LPG_synthase_TM
LDZ24_RS16545	mechanosensitive ion channel domain-containing protein	WP_248323325.1		transmembrane transport|0055085||IEA	membrane|0016020||IEA		-	mechanosensitive ion channel	ko:K22044	-	ko00000,ko02000	1.A.23.3	-	MS_channel
LDZ24_RS16570	ATP-binding cassette domain-containing protein	WP_248323327.1	ATP binding|0005524||IEA				-	ABC transporter, transmembrane region	ko:K06147	-	ko00000,ko02000	3.A.1.106,3.A.1.109,3.A.1.21	-	ABC_membrane,ABC_tran,Response_reg
