#query,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs
lcl|NZ_CP084250.1_cds_WP_175939945.1_877,1071679.BG57_17430,1.29e-76,230.0,"COG1186@1|root,COG1186@2|Bacteria,1RH75@1224|Proteobacteria,2VSE7@28216|Betaproteobacteria,1K7MJ@119060|Burkholderiaceae",28216|Betaproteobacteria,J,peptide chain release factor,yaeJ,-,-,ko:K15034,-,-,-,-,"ko00000,ko03012",-,-,-,RF-1
lcl|NZ_CP084250.1_cds_WP_248321800.1_878,1071679.BG57_17435,1.82e-176,497.0,"COG0697@1|root,COG0697@2|Bacteria,1MZQM@1224|Proteobacteria,2VI5H@28216|Betaproteobacteria,1K0M9@119060|Burkholderiaceae",28216|Betaproteobacteria,EG,Drug metabolite transporter (DMT) superfamily,yijE_1,-,-,-,-,-,-,-,-,-,-,-,EamA
lcl|NZ_CP084250.1_cds_WP_248321801.1_879,1071679.BG57_17440,0.0,962.0,"COG1620@1|root,COG1620@2|Bacteria,1R9MG@1224|Proteobacteria,2WFRD@28216|Betaproteobacteria,1KI51@119060|Burkholderiaceae",28216|Betaproteobacteria,C,PFAM L-lactate permease,-,-,-,ko:K03303,-,-,-,-,"ko00000,ko02000",2.A.14,-,-,Lactate_perm
lcl|NZ_CP084250.1_cds_WP_248321806.1_882,1071679.BG57_17455,1.82e-28,103.0,"2AF6I@1|root,3155G@2|Bacteria,1PV5Z@1224|Proteobacteria,2VX0T@28216|Betaproteobacteria,1K9IY@119060|Burkholderiaceae",28216|Betaproteobacteria,S,Glycine zipper 2TM domain,-,-,-,ko:K04062,-,-,-,-,ko00000,-,-,-,Rick_17kDa_Anti
lcl|NZ_CP084250.1_cds_WP_248321808.1_883,1071679.BG57_17460,0.0,1300.0,"COG0422@1|root,COG0422@2|Bacteria,1MUVV@1224|Proteobacteria,2VHS3@28216|Betaproteobacteria,1K0C6@119060|Burkholderiaceae",28216|Betaproteobacteria,H,Catalyzes the synthesis of the hydroxymethylpyrimidine phosphate (HMP-P) moiety of thiamine from aminoimidazole ribotide (AIR) in a radical S-adenosyl-L-methionine (SAM)-dependent reaction,thiC,-,4.1.99.17,ko:K03147,"ko00730,ko01100,map00730,map01100",M00127,R03472,"RC03251,RC03252","ko00000,ko00001,ko00002,ko01000",-,-,-,"ThiC-associated,ThiC_Rad_SAM"
lcl|NZ_CP084250.1_cds_WP_248321809.1_884,196367.JNFG01000202_gene2431,1.49e-167,477.0,"COG0697@1|root,COG0697@2|Bacteria,1MXX1@1224|Proteobacteria,2WFCC@28216|Betaproteobacteria,1KFY9@119060|Burkholderiaceae",28216|Betaproteobacteria,EG,EamA-like transporter family,-,-,-,-,-,-,-,-,-,-,-,-,EamA
lcl|NZ_CP084250.1_cds_WP_248321811.1_885,1097668.BYI23_A008640,4.76e-156,441.0,"COG1653@1|root,COG1653@2|Bacteria,1R5TB@1224|Proteobacteria,2VUUT@28216|Betaproteobacteria,1K54H@119060|Burkholderiaceae",28216|Betaproteobacteria,G,Domain of unknown function (DUF4397),-,-,-,-,-,-,-,-,-,-,-,-,DUF4397
lcl|NZ_CP084250.1_cds_WP_175939954.1_886,1458357.BG58_23475,1.33e-19,79.3,"COG5510@1|root,COG5510@2|Bacteria,1QBCS@1224|Proteobacteria,2WDT8@28216|Betaproteobacteria,1KAYN@119060|Burkholderiaceae",28216|Betaproteobacteria,S,PFAM Entericidin EcnAB,-,-,-,-,-,-,-,-,-,-,-,-,Entericidin
lcl|NZ_CP084250.1_cds_WP_248321813.1_887,1071679.BG57_17495,1.19e-258,719.0,"COG4585@1|root,COG4585@2|Bacteria,1MWPN@1224|Proteobacteria,2VJR2@28216|Betaproteobacteria,1K4ZR@119060|Burkholderiaceae",28216|Betaproteobacteria,T,Histidine kinase,vsrA,-,2.7.13.1,ko:K05962,-,-,-,-,"ko00000,ko01000",-,-,-,"CHASE3,HATPase_c,HisKA_3"
lcl|NZ_CP084250.1_cds_WP_159835737.1_888,1071679.BG57_17500,4.51e-08,51.2,"COG5487@1|root,COG5487@2|Bacteria,1NGAH@1224|Proteobacteria,2VXNN@28216|Betaproteobacteria,1KAB0@119060|Burkholderiaceae",28216|Betaproteobacteria,S,UPF0391 membrane protein,-,-,-,-,-,-,-,-,-,-,-,-,DUF1328
lcl|NZ_CP084250.1_cds_WP_040048814.1_889,1071679.BG57_17505,5.06e-12,60.8,"COG5487@1|root,COG5487@2|Bacteria,1NGAH@1224|Proteobacteria,2VW3H@28216|Betaproteobacteria",28216|Betaproteobacteria,S,UPF0391 membrane protein,-,-,-,-,-,-,-,-,-,-,-,-,DUF1328
lcl|NZ_CP084250.1_cds_WP_248321814.1_890,1071679.BG57_17515,1.41e-123,353.0,"COG2193@1|root,COG2193@2|Bacteria,1RGH9@1224|Proteobacteria,2WG2W@28216|Betaproteobacteria,1KI8Z@119060|Burkholderiaceae",28216|Betaproteobacteria,P,Rubrerythrin,-,-,1.16.3.1,ko:K03594,"ko00860,map00860",-,R00078,RC02758,"ko00000,ko00001,ko01000",-,-,-,Ferritin
lcl|NZ_CP084250.1_cds_WP_175939957.1_891,1071679.BG57_17520,1.57e-143,405.0,"COG2197@1|root,COG2197@2|Bacteria,1MWGM@1224|Proteobacteria,2VHQ0@28216|Betaproteobacteria,1K11T@119060|Burkholderiaceae",28216|Betaproteobacteria,K,response regulator,vsrD,-,-,-,-,-,-,-,-,-,-,-,"GerE,Response_reg"
lcl|NZ_CP084250.1_cds_WP_248321815.1_892,1071679.BG57_17525,1.09e-81,244.0,"COG2197@1|root,COG2197@2|Bacteria,1NDQC@1224|Proteobacteria,2VVNY@28216|Betaproteobacteria,1K733@119060|Burkholderiaceae",28216|Betaproteobacteria,T,Response regulator receiver,-,-,-,-,-,-,-,-,-,-,-,-,Response_reg
lcl|NZ_CP084250.1_cds_WP_248321817.1_893,1071679.BG57_17530,5.66e-241,669.0,"COG0477@1|root,COG2814@2|Bacteria,1MVVW@1224|Proteobacteria,2VQVD@28216|Betaproteobacteria,1K14E@119060|Burkholderiaceae",28216|Betaproteobacteria,EGP,PFAM major facilitator superfamily MFS_1,-,-,-,-,-,-,-,-,-,-,-,-,"MFS_1,Sugar_tr"
lcl|NZ_CP084250.1_cds_WP_248321819.1_894,1458357.BG58_23520,1.83e-49,160.0,"29KEV@1|root,307C5@2|Bacteria,1PX31@1224|Proteobacteria,2WCKH@28216|Betaproteobacteria,1K825@119060|Burkholderiaceae",28216|Betaproteobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
lcl|NZ_CP084250.1_cds_WP_248321821.1_895,1071679.BG57_17540,2.62e-45,147.0,"2AGM7@1|root,316UF@2|Bacteria,1PY0Y@1224|Proteobacteria,2WDB7@28216|Betaproteobacteria,1K9WI@119060|Burkholderiaceae",28216|Betaproteobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
lcl|NZ_CP084250.1_cds_WP_248321823.1_896,1071679.BG57_17550,7.2e-123,352.0,"COG3548@1|root,COG3548@2|Bacteria,1R9WQ@1224|Proteobacteria,2VQBM@28216|Betaproteobacteria,1K0DT@119060|Burkholderiaceae",28216|Betaproteobacteria,S,Protein of unknown function (DUF1211),-,-,-,-,-,-,-,-,-,-,-,-,DUF1211
lcl|NZ_CP084250.1_cds_WP_248321825.1_897,1071679.BG57_17555,1.32e-82,246.0,"COG0622@1|root,COG0622@2|Bacteria,1RGUN@1224|Proteobacteria,2VT3X@28216|Betaproteobacteria,1K716@119060|Burkholderiaceae",28216|Betaproteobacteria,S,Phosphoesterase,-,-,-,ko:K07095,-,-,-,-,ko00000,-,-,-,Metallophos_2
lcl|NZ_CP084250.1_cds_WP_248321826.1_898,1458357.BG58_23555,0.0,877.0,"COG0477@1|root,COG0477@2|Bacteria,1MU46@1224|Proteobacteria,2VKAC@28216|Betaproteobacteria,1JZYS@119060|Burkholderiaceae",28216|Betaproteobacteria,EGP,transporter,-,-,-,ko:K03762,-,-,-,-,"ko00000,ko02000",2.A.1.6.4,-,-,"MFS_1,Osmo_CC,Sugar_tr"
lcl|NZ_CP084250.1_cds_WP_159835747.1_899,1097668.BYI23_A008760,2.87e-61,187.0,"COG2924@1|root,COG2924@2|Bacteria,1MZ2V@1224|Proteobacteria,2VTYU@28216|Betaproteobacteria,1K8DB@119060|Burkholderiaceae",28216|Betaproteobacteria,C,"Could be a mediator in iron transactions between iron acquisition and iron-requiring processes, such as synthesis and or repair of Fe-S clusters in biosynthetic enzymes",yggX,-,-,-,-,-,-,-,-,-,-,-,Iron_traffic
lcl|NZ_CP084250.1_cds_WP_175939965.1_900,1071679.BG57_17575,5.93e-315,859.0,"COG0548@1|root,COG1246@1|root,COG0548@2|Bacteria,COG1246@2|Bacteria,1MUUP@1224|Proteobacteria,2VGZC@28216|Betaproteobacteria,1K2AE@119060|Burkholderiaceae",28216|Betaproteobacteria,E,Belongs to the acetyltransferase family. ArgA subfamily,argA,-,2.3.1.1,ko:K14682,"ko00220,ko01100,ko01110,ko01130,ko01210,ko01230,map00220,map01100,map01110,map01130,map01210,map01230",M00028,R00259,"RC00004,RC00064","ko00000,ko00001,ko00002,ko01000",-,-,-,"AA_kinase,Acetyltransf_1"
lcl|NZ_CP084250.1_cds_WP_371747390.1_901,1071679.BG57_17580,0.0,2349.0,"COG1643@1|root,COG1643@2|Bacteria,1MUEQ@1224|Proteobacteria,2VI3R@28216|Betaproteobacteria,1K087@119060|Burkholderiaceae",28216|Betaproteobacteria,L,Atp-dependent helicase,hrpA,-,3.6.4.13,ko:K03578,-,-,-,-,"ko00000,ko01000",-,-,-,"DEAD,DUF3418,HA2,Helicase_C,OB_NTP_bind"
lcl|NZ_CP084250.1_cds_WP_248322273.1_902,1458357.BG58_23580,3.44e-218,605.0,"COG3391@1|root,COG3391@2|Bacteria,1P862@1224|Proteobacteria,2VKXA@28216|Betaproteobacteria,1K2ZY@119060|Burkholderiaceae",28216|Betaproteobacteria,S,40-residue YVTN family beta-propeller repeat protein,-,-,-,-,-,-,-,-,-,-,-,-,"Cytochrom_D1,Lactonase"
lcl|NZ_CP084250.1_cds_WP_248321830.1_903,1071679.BG57_17590,1.2e-236,651.0,"COG3000@1|root,COG3000@2|Bacteria,1MW5G@1224|Proteobacteria,2VJE7@28216|Betaproteobacteria,1K1FE@119060|Burkholderiaceae",28216|Betaproteobacteria,I,Fatty acid hydroxylase,-,-,-,-,-,-,-,-,-,-,-,-,FA_hydroxylase
lcl|NZ_CP084250.1_cds_WP_248321832.1_904,1071679.BG57_17595,1.49e-179,502.0,"COG2981@1|root,COG2981@2|Bacteria,1Q181@1224|Proteobacteria,2VN29@28216|Betaproteobacteria,1K1WE@119060|Burkholderiaceae",28216|Betaproteobacteria,E,Etoposide-induced protein 2.4 (EI24),-,-,-,-,-,-,-,-,-,-,-,-,EI24
lcl|NZ_CP084250.1_cds_WP_248321834.1_905,1071679.BG57_17600,1.94e-181,506.0,"COG1058@1|root,COG1058@2|Bacteria,1MVG6@1224|Proteobacteria,2VHTD@28216|Betaproteobacteria,1K2HA@119060|Burkholderiaceae",28216|Betaproteobacteria,S,PFAM molybdopterin binding domain,yfaY,-,-,-,-,-,-,-,-,-,-,-,MoCF_biosynth
lcl|NZ_CP084250.1_cds_WP_248321835.1_906,1097668.BYI23_A008830,1.03e-119,347.0,"COG3142@1|root,COG3142@2|Bacteria,1NX6K@1224|Proteobacteria,2WG16@28216|Betaproteobacteria,1KI8C@119060|Burkholderiaceae",28216|Betaproteobacteria,P,Participates in the control of copper homeostasis,cutC,-,-,ko:K06201,-,-,-,-,ko00000,-,-,-,CutC
lcl|NZ_CP084250.1_cds_WP_248321837.1_907,1071679.BG57_17610,1.33e-94,277.0,"COG0607@1|root,COG0607@2|Bacteria,1REHH@1224|Proteobacteria,2VRN0@28216|Betaproteobacteria,1K3GX@119060|Burkholderiaceae",28216|Betaproteobacteria,P,SMART Rhodanese domain protein,-,-,-,-,-,-,-,-,-,-,-,-,Rhodanese
lcl|NZ_CP084250.1_cds_WP_175939973.1_908,1071679.BG57_17615,0.0,952.0,"COG0174@1|root,COG0174@2|Bacteria,1MUGQ@1224|Proteobacteria,2VHYE@28216|Betaproteobacteria,1K39W@119060|Burkholderiaceae",28216|Betaproteobacteria,E,glutamine synthetase,glnA,"GO:0003674,GO:0003824,GO:0006725,GO:0008150,GO:0008152,GO:0009987,GO:0016853,GO:0016866,GO:0034022,GO:0042537,GO:0044237,GO:0050486,GO:0071704,GO:1901360","5.4.4.3,6.3.1.2","ko:K01915,ko:K20712","ko00220,ko00250,ko00627,ko00630,ko00910,ko01100,ko01120,ko01230,ko02020,ko04217,ko04724,ko04727,map00220,map00250,map00627,map00630,map00910,map01100,map01120,map01230,map02020,map04217,map04724,map04727",-,"R00253,R06988,R09284","RC00010,RC01754,RC02798","ko00000,ko00001,ko01000,ko04147",-,-,-,"Gln-synt_C,Gln-synt_N"
lcl|NZ_CP084250.1_cds_WP_248322274.1_909,1071679.BG57_17620,2.14e-258,710.0,"COG3852@1|root,COG3852@2|Bacteria,1MVN6@1224|Proteobacteria,2VJN7@28216|Betaproteobacteria,1K0SE@119060|Burkholderiaceae",28216|Betaproteobacteria,T,Histidine kinase,ntrB,-,2.7.13.3,ko:K07708,"ko02020,map02020",M00497,-,-,"ko00000,ko00001,ko00002,ko01000,ko01001,ko02022",-,-,-,"HATPase_c,HisKA,PAS,PAS_4,PAS_9"
lcl|NZ_CP084250.1_cds_WP_175939974.1_910,1097668.BYI23_A008870,0.0,899.0,"COG2204@1|root,COG2204@2|Bacteria,1MU0N@1224|Proteobacteria,2VHSB@28216|Betaproteobacteria,1K0NH@119060|Burkholderiaceae",28216|Betaproteobacteria,T,nitrogen regulation protein,ntrC,"GO:0003674,GO:0003676,GO:0003677,GO:0005488,GO:0006355,GO:0008150,GO:0009889,GO:0009890,GO:0009891,GO:0009892,GO:0009893,GO:0010468,GO:0010556,GO:0010557,GO:0010558,GO:0010604,GO:0010605,GO:0010628,GO:0010629,GO:0019219,GO:0019222,GO:0031323,GO:0031324,GO:0031325,GO:0031326,GO:0031327,GO:0031328,GO:0043565,GO:0045892,GO:0045893,GO:0045934,GO:0045935,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0050789,GO:0050794,GO:0051171,GO:0051172,GO:0051173,GO:0051252,GO:0051253,GO:0051254,GO:0060255,GO:0065007,GO:0080090,GO:0097159,GO:1901363,GO:1902679,GO:1902680,GO:1903506,GO:1903507,GO:1903508,GO:2000112,GO:2000113,GO:2001141",-,ko:K07712,"ko02020,map02020",M00497,-,-,"ko00000,ko00001,ko00002,ko02022",-,-,-,"HTH_8,Response_reg,Sigma54_activat"
lcl|NZ_CP084250.1_cds_WP_248321839.1_911,1071679.BG57_17630,1.62e-183,510.0,"COG0708@1|root,COG0708@2|Bacteria,1MVII@1224|Proteobacteria,2VH7N@28216|Betaproteobacteria,1JZSV@119060|Burkholderiaceae",28216|Betaproteobacteria,L,Exodeoxyribonuclease III,xthA,-,3.1.11.2,ko:K01142,"ko03410,map03410",-,-,-,"ko00000,ko00001,ko01000,ko03400",-,-,-,Exo_endo_phos
lcl|NZ_CP084250.1_cds_WP_175939976.1_912,667632.KB890175_gene4097,5.02e-10,54.3,"2AH4F@1|root,317E0@2|Bacteria,1PYQ7@1224|Proteobacteria,2WDV5@28216|Betaproteobacteria,1KB1Y@119060|Burkholderiaceae",28216|Betaproteobacteria,S,F subunit of K+-transporting ATPase (Potass_KdpF),-,-,-,-,-,-,-,-,-,-,-,-,Potass_KdpF
lcl|NZ_CP084250.1_cds_WP_248321841.1_913,1071679.BG57_05575,0.0,979.0,"COG2060@1|root,COG2060@2|Bacteria,1MV1K@1224|Proteobacteria,2VI68@28216|Betaproteobacteria,1K244@119060|Burkholderiaceae",28216|Betaproteobacteria,P,"Part of the high-affinity ATP-driven potassium transport (or Kdp) system, which catalyzes the hydrolysis of ATP coupled with the electrogenic transport of potassium into the cytoplasm. This subunit binds and transports the potassium across the cytoplasmic membrane",kdpA,-,3.6.3.12,ko:K01546,"ko02020,map02020",-,-,-,"ko00000,ko00001,ko01000",3.A.3.7,-,-,KdpA
lcl|NZ_CP084250.1_cds_WP_305854691.1_914,1097668.BYI23_A008900,0.0,1214.0,"COG2216@1|root,COG2216@2|Bacteria,1MU7D@1224|Proteobacteria,2VH26@28216|Betaproteobacteria,1K1X1@119060|Burkholderiaceae",28216|Betaproteobacteria,P,"Part of the high-affinity ATP-driven potassium transport (or Kdp) system, which catalyzes the hydrolysis of ATP coupled with the electrogenic transport of potassium into the cytoplasm. This subunit is responsible for energy coupling to the transport system",kdpB,"GO:0003674,GO:0003824,GO:0005215,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006812,GO:0006813,GO:0008150,GO:0008324,GO:0008556,GO:0009987,GO:0015075,GO:0015077,GO:0015079,GO:0015318,GO:0015399,GO:0015405,GO:0015662,GO:0015672,GO:0016020,GO:0016021,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0019829,GO:0022804,GO:0022853,GO:0022857,GO:0022890,GO:0030001,GO:0031004,GO:0031224,GO:0031226,GO:0032991,GO:0034220,GO:0042623,GO:0042625,GO:0042626,GO:0043492,GO:0044425,GO:0044459,GO:0044464,GO:0046873,GO:0051179,GO:0051234,GO:0055085,GO:0071804,GO:0071805,GO:0071944,GO:0090533,GO:0090662,GO:0098533,GO:0098655,GO:0098660,GO:0098662,GO:0098796,GO:0099131,GO:0099132,GO:1902494,GO:1902495,GO:1904949,GO:1990351",3.6.3.12,ko:K01547,"ko02020,map02020",-,-,-,"ko00000,ko00001,ko01000",3.A.3.7,-,-,"E1-E2_ATPase,Hydrolase"
lcl|NZ_CP084250.1_cds_WP_248321842.1_915,1458357.BG58_18710,1.44e-98,290.0,"COG2156@1|root,COG2156@2|Bacteria,1RABG@1224|Proteobacteria,2VQ72@28216|Betaproteobacteria,1K3NK@119060|Burkholderiaceae",28216|Betaproteobacteria,P,"Part of the high-affinity ATP-driven potassium transport (or Kdp) system, which catalyzes the hydrolysis of ATP coupled with the electrogenic transport of potassium into the cytoplasm. This subunit acts as a catalytic chaperone that increases the ATP- binding affinity of the ATP-hydrolyzing subunit KdpB by the formation of a transient KdpB KdpC ATP ternary complex",kdpC,-,3.6.3.12,ko:K01548,"ko02020,map02020",-,-,-,"ko00000,ko00001,ko01000",3.A.3.7,-,-,KdpC
lcl|NZ_CP084250.1_cds_WP_248321844.1_916,1097668.BYI23_A008920,0.0,1446.0,"COG0642@1|root,COG2205@2|Bacteria,1MUZQ@1224|Proteobacteria,2VH62@28216|Betaproteobacteria,1JZV6@119060|Burkholderiaceae",28216|Betaproteobacteria,T,Histidine kinase,kdpD,-,2.7.13.3,ko:K07646,"ko02020,map02020",M00454,-,-,"ko00000,ko00001,ko00002,ko01000,ko01001,ko02022",-,-,-,"DUF4118,GAF_3,HATPase_c,HisKA,KdpD,Usp"
lcl|NZ_CP084250.1_cds_WP_248321846.1_917,1071679.BG57_17635,7.12e-293,801.0,"COG0402@1|root,COG0402@2|Bacteria,1MX34@1224|Proteobacteria,2VMF2@28216|Betaproteobacteria,1K4DE@119060|Burkholderiaceae",28216|Betaproteobacteria,F,cytosine deaminase,codA,-,3.5.4.1,ko:K01485,"ko00240,ko00330,ko01100,map00240,map00330,map01100",-,"R00974,R01411,R02922","RC00074,RC00514,RC00809","ko00000,ko00001,ko01000",-,-,-,"Amidohydro_1,Amidohydro_3"
lcl|NZ_CP084250.1_cds_WP_248321848.1_918,1071679.BG57_17640,0.0,1341.0,"COG0339@1|root,COG0339@2|Bacteria,1MU1K@1224|Proteobacteria,2VHPQ@28216|Betaproteobacteria,1K0UB@119060|Burkholderiaceae",28216|Betaproteobacteria,E,"PFAM peptidase M3A and M3B, thimet oligopeptidase F",prlC,-,3.4.24.70,ko:K01414,-,-,-,-,"ko00000,ko01000,ko01002",-,-,-,Peptidase_M3
lcl|NZ_CP084250.1_cds_WP_248321850.1_919,1071679.BG57_17645,2.98e-187,522.0,"COG0190@1|root,COG0190@2|Bacteria,1MWU4@1224|Proteobacteria,2VI8C@28216|Betaproteobacteria,1JZNK@119060|Burkholderiaceae",28216|Betaproteobacteria,F,"Catalyzes the oxidation of 5,10- methylenetetrahydrofolate to 5,10-methenyltetrahydrofolate and then the hydrolysis of 5,10-methenyltetrahydrofolate to 10- formyltetrahydrofolate",folD,-,"1.5.1.5,3.5.4.9",ko:K01491,"ko00670,ko00720,ko01100,ko01120,ko01200,map00670,map00720,map01100,map01120,map01200","M00140,M00377","R01220,R01655","RC00202,RC00578","ko00000,ko00001,ko00002,ko01000",-,-,-,"THF_DHG_CYH,THF_DHG_CYH_C"
lcl|NZ_CP084250.1_cds_WP_248321851.1_920,1071679.BG57_17650,9.82e-167,472.0,"COG4786@1|root,COG4786@2|Bacteria,1MZXB@1224|Proteobacteria,2VKSZ@28216|Betaproteobacteria,1K5PF@119060|Burkholderiaceae",28216|Betaproteobacteria,N,Protein of unknown function (DUF2950),-,-,-,-,-,-,-,-,-,-,-,-,DUF2950
lcl|NZ_CP084250.1_cds_WP_248322276.1_921,1071679.BG57_17655,3.14e-190,541.0,"COG3064@1|root,COG3064@2|Bacteria,1MXPS@1224|Proteobacteria,2VKTY@28216|Betaproteobacteria,1K11H@119060|Burkholderiaceae",28216|Betaproteobacteria,M,Protein of unknown function (DUF3300),-,-,-,-,-,-,-,-,-,-,-,-,DUF3300
lcl|NZ_CP084250.1_cds_WP_159835767.1_922,1071679.BG57_17660,2.05e-140,397.0,"COG4566@1|root,COG4566@2|Bacteria,1N6WR@1224|Proteobacteria,2VM61@28216|Betaproteobacteria,1K0CD@119060|Burkholderiaceae",28216|Betaproteobacteria,K,response regulator,fixJ,"GO:0000976,GO:0001067,GO:0001130,GO:0001216,GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003700,GO:0005488,GO:0005575,GO:0006355,GO:0008150,GO:0009889,GO:0009891,GO:0009893,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010628,GO:0019219,GO:0019222,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0032991,GO:0032993,GO:0043565,GO:0044212,GO:0045893,GO:0045935,GO:0048518,GO:0048522,GO:0050789,GO:0050794,GO:0051171,GO:0051173,GO:0051252,GO:0051254,GO:0060255,GO:0065007,GO:0080090,GO:0097159,GO:0140110,GO:1901363,GO:1902680,GO:1903506,GO:1903508,GO:1990837,GO:2000112,GO:2001141",-,ko:K13041,"ko02020,map02020",M00514,-,-,"ko00000,ko00001,ko00002,ko02022",-,-,-,"GerE,Response_reg"
lcl|NZ_CP084250.1_cds_WP_206467925.1_923,1458357.BG58_23675,0.0,1595.0,"COG3829@1|root,COG4191@1|root,COG3829@2|Bacteria,COG4191@2|Bacteria,1RCM9@1224|Proteobacteria,2VI6T@28216|Betaproteobacteria,1K2D8@119060|Burkholderiaceae",28216|Betaproteobacteria,T,"PFAM ATP-binding region, ATPase domain protein",fixL,-,-,-,-,-,-,-,-,-,-,-,"HATPase_c,HisKA,PAS,PAS_4,PAS_8,PAS_9"
lcl|NZ_CP084250.1_cds_WP_206467926.1_924,1071679.BG57_17670,0.0,1792.0,"COG2609@1|root,COG2609@2|Bacteria,1MV21@1224|Proteobacteria,2VIAH@28216|Betaproteobacteria,1K2J6@119060|Burkholderiaceae",28216|Betaproteobacteria,C,"Component of the pyruvate dehydrogenase (PDH) complex, that catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2)",aceE,-,1.2.4.1,ko:K00163,"ko00010,ko00020,ko00620,ko01100,ko01110,ko01120,ko01130,ko01200,map00010,map00020,map00620,map01100,map01110,map01120,map01130,map01200",M00307,"R00014,R00209,R01699,R03270","RC00004,RC00027,RC00627,RC02742,RC02744,RC02882","br01601,ko00000,ko00001,ko00002,ko01000",-,-,-,Transketolase_N
lcl|NZ_CP084250.1_cds_WP_248321853.1_925,1071679.BG57_17675,6e-316,870.0,"COG0508@1|root,COG0508@2|Bacteria,1MU7K@1224|Proteobacteria,2VIHA@28216|Betaproteobacteria,1JZXX@119060|Burkholderiaceae",28216|Betaproteobacteria,C,The pyruvate dehydrogenase complex catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2),aceF,-,2.3.1.12,ko:K00627,"ko00010,ko00020,ko00620,ko01100,ko01110,ko01120,ko01130,ko01200,map00010,map00020,map00620,map01100,map01110,map01120,map01130,map01200",M00307,"R00209,R02569","RC00004,RC02742,RC02857","br01601,ko00000,ko00001,ko00002,ko01000",-,-,-,"2-oxoacid_dh,Biotin_lipoyl,E3_binding"
lcl|NZ_CP084250.1_cds_WP_248321855.1_926,1097668.BYI23_A009060,0.0,1148.0,"COG1249@1|root,COG1249@2|Bacteria,1MU2U@1224|Proteobacteria,2VI6G@28216|Betaproteobacteria,1K1V8@119060|Burkholderiaceae",28216|Betaproteobacteria,C,Dehydrogenase,lpdA,-,1.8.1.4,ko:K00382,"ko00010,ko00020,ko00260,ko00280,ko00620,ko00630,ko00640,ko01100,ko01110,ko01120,ko01130,ko01200,map00010,map00020,map00260,map00280,map00620,map00630,map00640,map01100,map01110,map01120,map01130,map01200","M00009,M00011,M00036,M00307,M00532","R00209,R01221,R01698,R03815,R07618,R08549","RC00004,RC00022,RC00583,RC02742,RC02833,RC02834","br01601,ko00000,ko00001,ko00002,ko01000,ko04147",-,-,-,"Biotin_lipoyl,Pyr_redox_2,Pyr_redox_dim"
lcl|NZ_CP084250.1_cds_WP_175939991.1_927,1071679.BG57_30805,1.75e-86,259.0,"COG5490@1|root,COG5490@2|Bacteria,1R4SV@1224|Proteobacteria,2VQP2@28216|Betaproteobacteria,1JZMD@119060|Burkholderiaceae",28216|Betaproteobacteria,S,TIGRFAM phasin family protein,phaP2,-,-,-,-,-,-,-,-,-,-,-,Phasin_2
lcl|NZ_CP084250.1_cds_WP_248321856.1_928,1071679.BG57_30795,5.71e-212,593.0,"COG1686@1|root,COG1686@2|Bacteria,1MWZA@1224|Proteobacteria,2VH1S@28216|Betaproteobacteria,1K21U@119060|Burkholderiaceae",28216|Betaproteobacteria,M,Belongs to the peptidase S11 family,pbpG,-,-,ko:K07262,-,-,-,-,"ko00000,ko01000,ko01002,ko01011",-,-,-,Peptidase_S11
lcl|NZ_CP084250.1_cds_WP_244848364.1_929,1071679.BG57_30790,3.43e-171,480.0,"COG1414@1|root,COG1414@2|Bacteria,1MUNW@1224|Proteobacteria,2VHB6@28216|Betaproteobacteria,1JZS2@119060|Burkholderiaceae",28216|Betaproteobacteria,K,Transcriptional regulator,yiaJ,-,-,-,-,-,-,-,-,-,-,-,"HTH_IclR,IclR"
lcl|NZ_CP084250.1_cds_WP_175939994.1_930,1071679.BG57_30785,7.69e-170,474.0,"COG0247@1|root,COG0247@2|Bacteria,1MWTK@1224|Proteobacteria,2VNV2@28216|Betaproteobacteria,1K0C9@119060|Burkholderiaceae",28216|Betaproteobacteria,C,Cysteine-rich domain,-,-,-,ko:K18928,-,-,-,-,ko00000,-,-,-,CCG
lcl|NZ_CP084250.1_cds_WP_248321858.1_931,1071679.BG57_30780,0.0,873.0,"COG1139@1|root,COG1139@2|Bacteria,1MV6J@1224|Proteobacteria,2VJ3Y@28216|Betaproteobacteria,1K165@119060|Burkholderiaceae",28216|Betaproteobacteria,C,"4Fe-4S ferredoxin, iron-sulfur binding",-,-,-,ko:K18929,-,-,-,-,ko00000,-,-,-,"DUF3390,Fer4_8,LUD_dom"
